component,layer,head,abs_delta
z,14,2,0.00439453125
z,14,25,0.00439453125
z,23,4,0.00439453125
z,14,0,0.00439453125
z,12,13,0.00439453125
z,14,8,0.00439453125
z,22,31,0.00439453125
z,24,10,0.00439453125
z,31,17,0.00439453125
z,31,25,0.004150390625
z,30,0,0.004150390625
z,29,31,0.004150390625
z,25,13,0.004150390625
z,30,11,0.004150390625
z,24,3,0.004150390625
z,24,2,0.004150390625
z,19,23,0.004150390625
z,27,19,0.004150390625
z,27,0,0.004150390625
z,20,11,0.004150390625
z,21,14,0.004150390625
z,21,23,0.004150390625
z,21,25,0.004150390625
z,27,1,0.004150390625
z,26,28,0.004150390625
z,26,31,0.004150390625
z,21,31,0.004150390625
z,22,27,0.004150390625
z,26,25,0.004150390625
z,26,21,0.004150390625
z,22,16,0.004150390625
z,20,30,0.004150390625
z,28,25,0.004150390625
z,29,15,0.004150390625
z,12,20,0.004150390625
z,14,21,0.004150390625
z,17,12,0.004150390625
z,27,28,0.004150390625
z,16,6,0.004150390625
z,16,7,0.004150390625
z,16,29,0.004150390625
z,16,1,0.004150390625
z,28,19,0.004150390625
z,28,16,0.004150390625
z,19,24,0.004150390625
z,19,8,0.004150390625
z,27,21,0.004150390625
z,19,16,0.004150390625
z,22,18,0.004150390625
z,25,27,0.004150390625
z,23,3,0.004150390625
z,23,12,0.004150390625
z,30,5,0.00390625
z,24,0,0.00390625
z,30,20,0.00390625
z,25,1,0.00390625
z,25,25,0.00390625
z,23,31,0.00390625
z,25,0,0.00390625
z,24,1,0.00390625
z,31,28,0.00390625
z,30,13,0.00390625
z,19,3,0.00390625
z,27,20,0.00390625
z,31,27,0.00390625
z,31,19,0.00390625
z,31,18,0.00390625
z,31,13,0.00390625
z,18,22,0.00390625
z,21,8,0.00390625
z,26,12,0.00390625
z,24,17,0.00390625
z,28,17,0.00390625
z,28,9,0.00390625
z,28,22,0.00390625
z,17,8,0.00390625
z,31,2,0.00390625
z,31,1,0.00390625
z,18,27,0.00390625
z,14,18,0.00390625
z,13,6,0.00390625
z,14,27,0.00390625
z,28,26,0.00390625
z,16,9,0.00390625
z,21,19,0.00390625
z,26,8,0.00390625
z,27,10,0.00390625
z,19,9,0.00390625
z,23,25,0.00390625
z,10,7,0.00390625
z,28,30,0.00390625
z,29,2,0.003662109375
z,29,17,0.003662109375
z,29,0,0.003662109375
z,14,11,0.003662109375
z,30,29,0.003662109375
z,28,0,0.003662109375
z,30,22,0.003662109375
z,25,23,0.003662109375
z,30,8,0.003662109375
z,31,3,0.003662109375
z,31,8,0.003662109375
z,31,26,0.003662109375
z,31,21,0.003662109375
z,31,30,0.003662109375
z,30,18,0.003662109375
z,25,28,0.003662109375
z,26,7,0.003662109375
z,22,13,0.003662109375
z,23,24,0.003662109375
z,20,25,0.003662109375
z,27,16,0.003662109375
z,18,25,0.003662109375
z,28,18,0.003662109375
z,24,5,0.003662109375
z,27,4,0.003662109375
z,23,6,0.003662109375
z,26,22,0.00341796875
z,26,15,0.00341796875
z,24,13,0.00341796875
z,24,15,0.00341796875
z,26,18,0.00341796875
z,31,4,0.00341796875
z,31,12,0.00341796875
z,29,28,0.00341796875
z,30,24,0.00341796875
z,25,21,0.00341796875
z,25,22,0.00341796875
z,30,26,0.00341796875
z,31,7,0.00341796875
z,14,6,0.00341796875
z,30,28,0.00341796875
z,19,0,0.00341796875
z,17,23,0.00341796875
z,29,3,0.00341796875
z,20,0,0.00341796875
z,18,11,0.00341796875
z,26,14,0.00341796875
z,29,20,0.00341796875
z,17,0,0.00341796875
z,28,27,0.003173828125
z,29,5,0.003173828125
z,29,18,0.003173828125
z,27,30,0.003173828125
z,31,0,0.003173828125
z,27,15,0.003173828125
z,27,23,0.003173828125
z,26,5,0.003173828125
z,24,30,0.003173828125
z,29,27,0.003173828125
z,31,20,0.003173828125
z,25,8,0.003173828125
z,31,14,0.003173828125
z,27,27,0.003173828125
z,28,23,0.003173828125
z,28,15,0.003173828125
z,25,29,0.003173828125
z,20,13,0.0029296875
z,31,6,0.0029296875
z,31,24,0.0029296875
z,25,6,0.0029296875
z,30,9,0.0029296875
z,30,15,0.0029296875
z,31,5,0.0029296875
z,28,8,0.0029296875
z,29,7,0.0029296875
z,26,11,0.0029296875
z,29,19,0.0029296875
